Ticker,Name,Exchange,Category Name,Country
ADS.DE,Adidas AG,GER,Textile - Apparel Footwear & Accessories,Germany
BAYN.DE,Bayer Aktiengesellschaft,GER,Drug Manufacturers - Major,Germany
DAI.DE,Daimler AG,GER,Auto Manufacturers - Major,Germany
WDI.DE,Wirecard AG,GER,Business Services,Germany
ALV.DE,Allianz SE,GER,Property & Casualty Insurance,Germany
LO3.DE,Lonza Group Ltd,GER,Medical Laboratories & Research,Germany
IVX.DE,InVision Aktiengesellschaft,GER,Business Software & Services,Germany
RSTA.DE,RIB Software AG,GER,,Germany
VWS.DE,Vestas Wind Systems A/S,GER,Diversified Machinery,Germany
RKET.DE,Rocket Internet SE,GER,Technical & System Software,Germany
NOEJ.DE,NORMA Group SE,GER,Metal Fabrication,Germany
LSPN.DE,Chocoladefabriken Lindt & Sprüngli AG,GER,,Germany
BVB.DE,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,GER,"Recreational Goods, Other",Germany
SAZ.DE,STADA Arzneimittel Aktiengesellschaft,GER,Drugs - Generic,Germany
SAPA.DE,SAP SE,GER,Technical & System Software,Germany
RAD.DE,RHI AG,GER,,Germany
PNE3.DE,PNE Wind AG,GER,Electric Utilities,Germany
OSR.DE,OSRAM Licht AG,GER,Diversified Electronics,Germany
O4B.DE,OVB Holding AG,GER,Investment Brokerage - National,Germany
NDX1.DE,Nordex SE,GER,Diversified Machinery,Germany
M6YA.DE,Meyer Burger Technology AG,GER,,Germany
KSB.DE,KSB Aktiengesellschaft,GER,Diversified Machinery,Germany
KD8.DE,Kabel Deutschland Holding AG,GER,,Germany
K1R.DE,KROMI Logistik AG,GER,Industrial Equipment Wholesale,Germany
G1A.DE,GEA Group Aktiengesellschaft,GER,Diversified Machinery,Germany
ERCA.DE,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
COP.DE,CompuGroup Medical Societas Europaea,GER,Healthcare Information Services,Germany
SKYD.DE,Sky Deutschland AG,GER,,Germany
BAYA.DE,Bayer Aktiengesellschaft,GER,Drug Manufacturers - Major,Germany
ATF.MU,ALPHAFORM AG O.N.,MUN,,Germany
ARRB.DE,ArcelorMittal,GER,,Germany
AP2.DE,"Applied Materials, Inc.",GER,Semiconductor Equipment & Materials,Germany
AHLA.DE,Alibaba Group Holding Limited,GER,,Germany
ABJ.DE,ABB Ltd,GER,Diversified Machinery,Germany
AAD.DE,Amadeus FiRe AG,GER,Staffing & Outsourcing Services,Germany
6AT.BE,"ALTICE N.V. AEO-,01",BER,,Germany
ZAS.BE,"ASSURANT INC. DL-,01",BER,,Germany
XD4.BE,STRABAG SE,BER,,Germany
XCIA.BE,CN UNICOM(HK)LTD.H ADR/10,BER,,Germany
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,GER,Auto Manufacturers - Major,Germany
BAS.DE,BASF SE,GER,Chemicals - Major Diversified,Germany
DBK.DE,Deutsche Bank Aktiengesellschaft,GER,Money Center Banks,Germany
DB1.DE,Deutsche Börse Aktiengesellschaft,GER,Asset Management,Germany
TGR.DE,"Yum! Brands, Inc.",GER,,Germany
BKN.DE,The Bank of Nova Scotia,GER,Money Center Banks,Germany
BEI.DE,Beiersdorf Aktiengesellschaft,GER,Personal Products,Germany
VOW3.DE,Volkswagen Aktiengesellschaft,GER,Auto Manufacturers - Major,Germany
SAP.DE,SAP SE,GER,Technical & System Software,Germany
RWE.DE,RWE Aktiengesellschaft,GER,Diversified Utilities,Germany
SIE.DE,Siemens Aktiengesellschaft,GER,Diversified Machinery,Germany
DTE.DE,Deutsche Telekom AG,GER,Wireless Communications,Germany
VOW.DE,Volkswagen Aktiengesellschaft,GER,Auto Manufacturers - Major,Germany
CON.DE,Continental Aktiengesellschaft,GER,Auto Parts,Germany
LHA.DE,Deutsche Lufthansa Aktiengesellschaft,GER,Major Airlines,Germany
HEN3.DE,Henkel AG & Co. KGaA,GER,Personal Products,Germany
FME.DE,Fresenius Medical Care AG & Co. KGAA,GER,Hospitals,Germany
DRI.DE,Drillisch Aktiengesellschaft,GER,Wireless Communications,Germany
SDF.DE,K+S Aktiengesellschaft,GER,Chemicals - Major Diversified,Germany
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,GER,Property & Casualty Insurance,Germany
HEI.DE,HeidelbergCement AG,GER,General Building Materials,Germany
DPW.DE,Deutsche Post AG,GER,Air Delivery & Freight Services,Germany
YSN.DE,secunet Security Networks Aktiengesellschaft,GER,Technical & System Software,Germany
TTK.DE,TAKKT AG,GER,Marketing Services,Germany
TEG.DE,TAG Immobilien AG,GER,Real Estate Development,Germany
MOR.DE,Morphosys AG,GER,Biotechnology,Germany
MAN.DE,MAN SE,GER,Trucks & Other Vehicles,Germany
FRE.DE,Fresenius SE & Co. KGaA,GER,Hospitals,Germany
FIE.DE,Fielmann AG,GER,"Specialty Retail, Other",Germany
EOAN.DE,E.ON SE,GER,Diversified Utilities,Germany
CBK.DE,Commerzbank AG,GER,Money Center Banks,Germany
VOS.DE,Vossloh AG,GER,Railroads,Germany
TKA.DE,ThyssenKrupp AG,GER,Steel & Iron,Germany
SZU.DE,Südzucker AG,GER,Confectioners,Germany
SZG.DE,Salzgitter Aktiengesellschaft,GER,Steel & Iron,Germany
SGL.DE,SGL Carbon SE,GER,Chemicals - Major Diversified,Germany
QSC.DE,QSC AG,GER,Wireless Communications,Germany
PSM.DE,ProSiebenSat.1 Media SE,GER,Broadcasting - TV,Germany
MRK.DE,Merck Kommanditgesellschaft auf Aktien,GER,Drugs - Generic,Germany
LIN.DE,Linde Aktiengesellschaft,GER,Chemicals - Major Diversified,Germany
LEO.DE,LEONI AG,GER,Auto Parts,Germany
KBC.DE,Kontron AG,GER,Computer Based Systems,Germany
IS7.DE,InTiCa Systems AG,GER,Diversified Electronics,Germany
T2K1.SG,Transportadora de Gas Del Sur S.A.,STU,,Germany
CXU.DE,Church & Dwight Co. Inc.,GER,,Germany
BPE.DE,BP p.l.c.,GER,,Germany
BMW3.DE,Bayerische Motoren Werke Aktiengesellschaft,GER,Auto Manufacturers - Major,Germany
ZAL.DE,Zalando SE,GER,"Specialty Retail, Other",Germany
